nombre,direccion,lat,lon,categoria,createdAt
Logística del Mediterráneo S.A.,"Urbanización Rafael Salvador 3 Apt. 57 
Salamanca, 09439",17.436263,-91.951188,"postres, mexicana",2025-04-03T15:30:25.605001
Suministros Avanzadas S.Com.,"Pasadizo Vidal Aragonés 64 Piso 4 
Valladolid, 16287",16.532205,-88.602157,"italiana, asiatica",2025-04-11T14:42:59.331399
Hnos Puig S.L.,"Plaza María Dolores Pol 9 Puerta 6 
Granada, 18294",14.172121,-90.224672,"rapida, vegetariana",2025-01-26T17:40:24.619990
Gonzalez y asociados S.Com.,"Via de Rosalinda Pareja 43
Albacete, 27725",13.846635,-88.966124,"italiana, postres",2025-03-18T16:36:37.465124
Banca Privada IRJL S.A.,"Cuesta de Feliciano Roma 447
Murcia, 06659",14.680629,-91.455629,"mexicana, italiana",2025-02-16T10:29:32.393353
Grupo Noriega S.A.,"C. Esteban Vera 158
Barcelona, 20126",16.830114,-88.256979,"vegetariana, postres",2025-04-11T20:13:11.281564
Cabo & Asociados S.L.,"Avenida Saturnina Miguel 86
Melilla, 30595",16.128978,-90.537585,"rapida, italiana",2025-01-27T09:37:47.673625
Restauración Pinedo y asociados S.Com.,"Calle Amancio Torrents 17
Málaga, 30686",14.750017,-90.171122,"rapida, vegetariana",2025-03-31T19:25:28.841384
Suministros Leiva & Asociados S.Coop.,"Acceso Hortensia Sanmartín 5
Valencia, 50579",13.937929,-89.366211,"rapida, vegetariana",2025-02-08T01:49:48.188796
Izaguirre & Asociados S.Coop.,"Rambla de Cleto Arévalo 943 Apt. 54 
Zaragoza, 39696",16.77963,-91.670666,"postres, rapida",2025-03-15T06:34:06.461445
Hotel Agudo & Asociados S.Coop.,"Pasaje Quirino Gimeno 939
Vizcaya, 25629",14.323298,-91.991509,"rapida, mexicana",2025-02-20T23:55:17.730151
Agullo y Andres S.L.L.,"Calle de Dominga Villa 79
Girona, 49273",14.182455,-92.193,"mexicana, rapida",2025-04-04T08:12:06.933358
Finanzas Garzón & Asociados S.L.N.E,"Urbanización de José Salcedo 7
Málaga, 03668",17.634692,-90.234303,"italiana, postres",2025-01-30T02:37:03.317733
Florinda Barrio Ocaña S.L.,"Vial de Delfina Duarte 38 Piso 9 
Girona, 36807",16.374524,-88.803617,"postres, italiana",2025-01-01T18:02:46.821051
Juan Antonio Morera Duran S.A.,"Acceso Azahar Terrón 78
Zaragoza, 25898",14.993375,-88.655867,"rapida, italiana",2025-01-08T09:37:55.275822
Compañía Plana y asociados S.L.,"Cuesta Trinidad Santamaria 11 Piso 6 
Cantabria, 09500",17.611836,-89.185262,"asiatica, postres",2025-02-16T11:49:18.370148
